V5##VTuber ID,YouTube Subscriber Count,YouTube View Count,YouTube Recent Total Median View Count,YouTube Recent Total Popularity,YouTube Recent Total Highest View Count,YouTube Recent Total Highest Viewed URL,YouTube Recent Livestream Median View Count,YouTube Recent Livestream Popularity,YouTube Recent Livestream Highest View Count,YouTube Recent Livestream Highest Viewed URL,YouTube Recent Video Median View Count,YouTube Recent Video Popularity,YouTube Recent Video Highest View Count,YouTube Recent Video Highest Viewed URL,Twitch Follower Count,Twitch Recent Median View Count,Twitch Recent Popularity,Twitch Recent Highest View Count,Twitch Recent Highest Viewed URL
1c5619a4ece046dd8ba68ed343489ca3,523000,109891468,8731,5058,482076,https://www.youtube.com/watch?v=PvNfqldUAmU,4833,2296,6502,https://www.youtube.com/watch?v=xIO-DgEXF0Q,47710,17372,482076,https://www.youtube.com/watch?v=PvNfqldUAmU,31815,0,0,0,
f6a4e7aa8d0c4e5cb39d199845ec4d02,455000,53664492,12160,5748,53432,https://www.youtube.com/watch?v=LSPj9Vpo9dI,6730,3983,15589,https://www.youtube.com/watch?v=5L-jVfCZRnE,14531,9092,53432,https://www.youtube.com/watch?v=LSPj9Vpo9dI,112741,28025,8947,54766,https://www.twitch.tv/videos/2327266242
664e1b310cf343b78623f99b31e40fae,396000,59096649,1276,1036,1817,https://www.youtube.com/watch?v=1-Ol9PVoXj0,1817,1506,1817,https://www.youtube.com/watch?v=1-Ol9PVoXj0,736,565,736,https://www.youtube.com/watch?v=erWAgK2QY38,17221,0,0,0,
5535c9524eb046c38e172ebfa06b302f,363000,98901912,12841,5484,104941,https://www.youtube.com/watch?v=KKGNI5ZBSy0,18930,9730,104941,https://www.youtube.com/watch?v=KKGNI5ZBSy0,6897,2213,34236,https://www.youtube.com/watch?v=aenFEtwviuA,71257,2379,1180,7618,https://www.twitch.tv/videos/2329790837
4b6b055ada4d4f0ab63b7ad02a3fa3ef,227000,17455581,3010,1646,4912,https://www.youtube.com/watch?v=jEfBwTw7FGw,2899,2276,3309,https://www.youtube.com/watch?v=GUZS2uS_8I0,3121,1462,4912,https://www.youtube.com/watch?v=jEfBwTw7FGw,55713,2318,740,3198,https://www.twitch.tv/videos/2326274512
897400f2658a483286ca6acc927006ca,223000,32960747,2504,1480,13823,https://www.youtube.com/watch?v=uXyug1iZkUE,2496,1550,5834,https://www.youtube.com/watch?v=FOi5Zf7tN9U,2706,1463,13823,https://www.youtube.com/watch?v=uXyug1iZkUE,10041,0,0,0,
a9f6574e98f34b20a05269134930fb50,222000,8995486,5715,1619,8672,https://www.youtube.com/watch?v=OTZzHMWImxI,5715,1619,8672,https://www.youtube.com/watch?v=OTZzHMWImxI,0,0,0,,0,0,0,0,
7c06b9e316ce4ac18ce836cd72442bbe,209000,46752214,11366,5269,60397,https://www.youtube.com/watch?v=rjmBnedZCWE,10917,4909,60397,https://www.youtube.com/watch?v=rjmBnedZCWE,15901,7642,30832,https://www.youtube.com/watch?v=1ldrg4Jc77o,52276,4279,1680,16367,https://www.twitch.tv/videos/2340572837
abd64c9a64e04fb1b23faa2480c1c106,199000,68986758,2386,803,197697,https://www.youtube.com/watch?v=BHueOE7cMDU,1525,725,7127,https://www.youtube.com/watch?v=bT0asLvB3jE,25442,7661,197697,https://www.youtube.com/watch?v=BHueOE7cMDU,2048,0,0,0,
312fdd3c5e6d4aefa73fd3860ecc5613,185000,25709352,8114,3017,18687,https://www.youtube.com/watch?v=rO4ctI4ddw0,8114,3017,18687,https://www.youtube.com/watch?v=rO4ctI4ddw0,10286,3011,14721,https://www.youtube.com/watch?v=gLtpRVwkPKU,13539,0,0,0,
