V5##VTuber ID,YouTube Subscriber Count,YouTube View Count,YouTube Recent Total Median View Count,YouTube Recent Total Popularity,YouTube Recent Total Highest View Count,YouTube Recent Total Highest Viewed URL,YouTube Recent Livestream Median View Count,YouTube Recent Livestream Popularity,YouTube Recent Livestream Highest View Count,YouTube Recent Livestream Highest Viewed URL,YouTube Recent Video Median View Count,YouTube Recent Video Popularity,YouTube Recent Video Highest View Count,YouTube Recent Video Highest Viewed URL,Twitch Follower Count,Twitch Recent Median View Count,Twitch Recent Popularity,Twitch Recent Highest View Count,Twitch Recent Highest Viewed URL
1c5619a4ece046dd8ba68ed343489ca3,523000,110161791,9816,3232,76726,https://www.youtube.com/watch?v=vG3wFoDu7-A,5042,798,6586,https://www.youtube.com/watch?v=xIO-DgEXF0Q,16270,11673,76726,https://www.youtube.com/watch?v=vG3wFoDu7-A,31831,0,0,0,
f6a4e7aa8d0c4e5cb39d199845ec4d02,455000,53974618,17901,8068,63097,https://www.youtube.com/watch?v=LSPj9Vpo9dI,6812,2536,16983,https://www.youtube.com/watch?v=5L-jVfCZRnE,19391,13223,63097,https://www.youtube.com/watch?v=LSPj9Vpo9dI,113209,29032,14240,53042,https://www.twitch.tv/videos/2334809819
664e1b310cf343b78623f99b31e40fae,397000,59154614,3085,2019,5338,https://www.youtube.com/watch?v=DSnqUfY0Syw,0,0,0,,3085,2019,5338,https://www.youtube.com/watch?v=DSnqUfY0Syw,17216,0,0,0,
5535c9524eb046c38e172ebfa06b302f,364000,99577897,13467,8439,121503,https://www.youtube.com/watch?v=4pDCwXxfudw,18403,9688,121503,https://www.youtube.com/watch?v=4pDCwXxfudw,10319,5378,52065,https://www.youtube.com/watch?v=ZzlXaH9jrTQ,71346,3748,1109,6750,https://www.twitch.tv/videos/2356622337
4b6b055ada4d4f0ab63b7ad02a3fa3ef,227000,17477704,2693,1304,5287,https://www.youtube.com/watch?v=jEfBwTw7FGw,2482,1519,3102,https://www.youtube.com/watch?v=t2YgGVxRgTI,3124,705,5287,https://www.youtube.com/watch?v=jEfBwTw7FGw,55709,1362,1007,1522,https://www.twitch.tv/videos/2347498121
897400f2658a483286ca6acc927006ca,224000,33078688,2958,1057,73029,https://www.youtube.com/watch?v=CnHukLNDX70,2459,1046,6193,https://www.youtube.com/watch?v=FOi5Zf7tN9U,11374,7232,73029,https://www.youtube.com/watch?v=CnHukLNDX70,10072,0,0,0,
a9f6574e98f34b20a05269134930fb50,222000,9004313,5894,1728,5894,https://www.youtube.com/watch?v=Ye9e7ZRwR8E,5894,1728,5894,https://www.youtube.com/watch?v=Ye9e7ZRwR8E,0,0,0,,0,0,0,0,
7c06b9e316ce4ac18ce836cd72442bbe,210000,47093419,13772,5895,61265,https://www.youtube.com/watch?v=rjmBnedZCWE,11643,6137,61265,https://www.youtube.com/watch?v=rjmBnedZCWE,20406,5428,37318,https://www.youtube.com/watch?v=1ldrg4Jc77o,52450,4923,2339,16386,https://www.twitch.tv/videos/2340572837
abd64c9a64e04fb1b23faa2480c1c106,200000,69236334,4896,1642,112304,https://www.youtube.com/watch?v=XFhZ__Yvbm8,1621,244,7730,https://www.youtube.com/watch?v=bT0asLvB3jE,17403,5541,112304,https://www.youtube.com/watch?v=XFhZ__Yvbm8,2049,0,0,0,
d837e8fda137492c9d77882b98ff863a,186000,42404982,34795,20893,346529,https://www.youtube.com/watch?v=cku1uqbS3qQ,25599,11394,42779,https://www.youtube.com/watch?v=OkM_Rjv7lAg,212405,85191,346529,https://www.youtube.com/watch?v=cku1uqbS3qQ,6879,0,0,0,
312fdd3c5e6d4aefa73fd3860ecc5613,185000,25831259,8785,1672,16441,https://www.youtube.com/watch?v=trMDyC8woWw,11231,1457,16441,https://www.youtube.com/watch?v=trMDyC8woWw,7834,2228,7834,https://www.youtube.com/watch?v=-Ezfv6I7jAk,13536,0,0,0,
182da09d8d454f37a52ec546cbb35e39,172000,2811768,87133,66918,308625,https://www.youtube.com/watch?v=r8Rwh9biPKs,115670,106927,308625,https://www.youtube.com/watch?v=r8Rwh9biPKs,74913,47460,252673,https://www.youtube.com/watch?v=vw9hZ-cN5bw,0,0,0,0,
265a18972d244affae35711cfd1f9931,171000,17274804,3446,1355,24769,https://www.youtube.com/watch?v=-UoHmgxwvg4,4494,1355,24769,https://www.youtube.com/watch?v=-UoHmgxwvg4,3376,1687,10954,https://www.youtube.com/watch?v=6lKt9zzFuFs,10274,1053,344,3463,https://www.twitch.tv/videos/2352171072
e93bd1102e214cbaa71cc5b2e4a53595,164000,24458063,19164,8652,69127,https://www.youtube.com/watch?v=8184iqrNyC4,19382,9415,32944,https://www.youtube.com/watch?v=_Ni4UugmzOo,18552,8130,69127,https://www.youtube.com/watch?v=8184iqrNyC4,72381,28770,12085,35678,https://www.twitch.tv/videos/2337148504
c04f006e69e04000a68cd0c41f888eb2,145000,9719158,4783,2091,7549,https://www.youtube.com/watch?v=ljNe5dLWS2k,4783,2091,7549,https://www.youtube.com/watch?v=ljNe5dLWS2k,0,0,0,,0,0,0,0,
21428cae24af4607bffe25cb2746daa6,145000,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,
