V5##VTuber ID,YouTube Subscriber Count,YouTube View Count,YouTube Recent Total Median View Count,YouTube Recent Total Popularity,YouTube Recent Total Highest View Count,YouTube Recent Total Highest Viewed URL,YouTube Recent Livestream Median View Count,YouTube Recent Livestream Popularity,YouTube Recent Livestream Highest View Count,YouTube Recent Livestream Highest Viewed URL,YouTube Recent Video Median View Count,YouTube Recent Video Popularity,YouTube Recent Video Highest View Count,YouTube Recent Video Highest Viewed URL,Twitch Follower Count,Twitch Recent Median View Count,Twitch Recent Popularity,Twitch Recent Highest View Count,Twitch Recent Highest Viewed URL
1c5619a4ece046dd8ba68ed343489ca3,524000,110289590,10965,2812,152301,https://www.youtube.com/watch?v=vG3wFoDu7-A,5104,425,6600,https://www.youtube.com/watch?v=xIO-DgEXF0Q,17422,11176,152301,https://www.youtube.com/watch?v=vG3wFoDu7-A,31842,0,0,0,
f6a4e7aa8d0c4e5cb39d199845ec4d02,455000,54039852,19369,8579,64226,https://www.youtube.com/watch?v=LSPj9Vpo9dI,6423,2447,17174,https://www.youtube.com/watch?v=5L-jVfCZRnE,21756,11526,64226,https://www.youtube.com/watch?v=LSPj9Vpo9dI,113259,32772,17389,53046,https://www.twitch.tv/videos/2334809819
664e1b310cf343b78623f99b31e40fae,397000,59169344,3239,1879,5619,https://www.youtube.com/watch?v=DSnqUfY0Syw,0,0,0,,3239,1879,5619,https://www.youtube.com/watch?v=DSnqUfY0Syw,17216,0,0,0,
5535c9524eb046c38e172ebfa06b302f,364000,99742745,14925,8136,124328,https://www.youtube.com/watch?v=4pDCwXxfudw,17810,9042,124328,https://www.youtube.com/watch?v=4pDCwXxfudw,11713,6445,69066,https://www.youtube.com/watch?v=ZzlXaH9jrTQ,71367,3328,924,6763,https://www.twitch.tv/videos/2356622337
4b6b055ada4d4f0ab63b7ad02a3fa3ef,227000,17482433,2649,1324,3617,https://www.youtube.com/watch?v=aIoJzqqqsaw,2561,1365,3115,https://www.youtube.com/watch?v=t2YgGVxRgTI,2738,687,3617,https://www.youtube.com/watch?v=aIoJzqqqsaw,55720,1466,1038,2074,https://www.twitch.tv/videos/2359468338
897400f2658a483286ca6acc927006ca,224000,33112835,2985,905,99248,https://www.youtube.com/watch?v=CnHukLNDX70,2493,843,6243,https://www.youtube.com/watch?v=FOi5Zf7tN9U,11850,6649,99248,https://www.youtube.com/watch?v=CnHukLNDX70,10075,0,0,0,
a9f6574e98f34b20a05269134930fb50,222000,9006421,6047,1319,6047,https://www.youtube.com/watch?v=Ye9e7ZRwR8E,6047,1319,6047,https://www.youtube.com/watch?v=Ye9e7ZRwR8E,0,0,0,,0,0,0,0,
7c06b9e316ce4ac18ce836cd72442bbe,210000,47196088,12064,5561,61410,https://www.youtube.com/watch?v=rjmBnedZCWE,11254,5600,61410,https://www.youtube.com/watch?v=rjmBnedZCWE,16443,4847,38540,https://www.youtube.com/watch?v=1ldrg4Jc77o,52472,4781,2175,16387,https://www.twitch.tv/videos/2340572837
abd64c9a64e04fb1b23faa2480c1c106,200000,69307713,7789,1779,115169,https://www.youtube.com/watch?v=XFhZ__Yvbm8,2219,212,7793,https://www.youtube.com/watch?v=bT0asLvB3jE,18436,3679,115169,https://www.youtube.com/watch?v=XFhZ__Yvbm8,2051,0,0,0,
d837e8fda137492c9d77882b98ff863a,188000,42950464,33912,19715,353762,https://www.youtube.com/watch?v=cku1uqbS3qQ,25512,10653,43597,https://www.youtube.com/watch?v=OkM_Rjv7lAg,192670,73865,353762,https://www.youtube.com/watch?v=cku1uqbS3qQ,6923,0,0,0,
