V5##VTuber ID,YouTube Subscriber Count,YouTube View Count,YouTube Recent Total Median View Count,YouTube Recent Total Popularity,YouTube Recent Total Highest View Count,YouTube Recent Total Highest Viewed URL,YouTube Recent Livestream Median View Count,YouTube Recent Livestream Popularity,YouTube Recent Livestream Highest View Count,YouTube Recent Livestream Highest Viewed URL,YouTube Recent Video Median View Count,YouTube Recent Video Popularity,YouTube Recent Video Highest View Count,YouTube Recent Video Highest Viewed URL,Twitch Follower Count,Twitch Recent Median View Count,Twitch Recent Popularity,Twitch Recent Highest View Count,Twitch Recent Highest Viewed URL
1c5619a4ece046dd8ba68ed343489ca3,524000,110221434,10028,3097,84662,https://www.youtube.com/watch?v=vG3wFoDu7-A,5055,695,6589,https://www.youtube.com/watch?v=xIO-DgEXF0Q,16577,11548,84662,https://www.youtube.com/watch?v=vG3wFoDu7-A,31834,0,0,0,
f6a4e7aa8d0c4e5cb39d199845ec4d02,455000,53999184,17933,7823,63442,https://www.youtube.com/watch?v=LSPj9Vpo9dI,6816,2435,17026,https://www.youtube.com/watch?v=5L-jVfCZRnE,20345,12851,63442,https://www.youtube.com/watch?v=LSPj9Vpo9dI,113218,31392,16936,53043,https://www.twitch.tv/videos/2334809819
664e1b310cf343b78623f99b31e40fae,397000,59161598,3126,1982,5416,https://www.youtube.com/watch?v=DSnqUfY0Syw,0,0,0,,3126,1982,5416,https://www.youtube.com/watch?v=DSnqUfY0Syw,17216,0,0,0,
5535c9524eb046c38e172ebfa06b302f,364000,99651929,14350,7548,122431,https://www.youtube.com/watch?v=4pDCwXxfudw,18423,9419,122431,https://www.youtube.com/watch?v=4pDCwXxfudw,11397,5335,57604,https://www.youtube.com/watch?v=ZzlXaH9jrTQ,71358,3735,958,6756,https://www.twitch.tv/videos/2356622337
4b6b055ada4d4f0ab63b7ad02a3fa3ef,227000,17480528,2706,1416,5304,https://www.youtube.com/watch?v=jEfBwTw7FGw,2510,1455,3103,https://www.youtube.com/watch?v=t2YgGVxRgTI,3141,643,5304,https://www.youtube.com/watch?v=jEfBwTw7FGw,55708,1375,979,1522,https://www.twitch.tv/videos/2347498121
897400f2658a483286ca6acc927006ca,224000,33096303,2963,1006,77284,https://www.youtube.com/watch?v=CnHukLNDX70,2470,997,6205,https://www.youtube.com/watch?v=FOi5Zf7tN9U,11484,7064,77284,https://www.youtube.com/watch?v=CnHukLNDX70,10072,0,0,0,
a9f6574e98f34b20a05269134930fb50,222000,9005281,5940,1618,5940,https://www.youtube.com/watch?v=Ye9e7ZRwR8E,5940,1618,5940,https://www.youtube.com/watch?v=Ye9e7ZRwR8E,0,0,0,,0,0,0,0,
7c06b9e316ce4ac18ce836cd72442bbe,210000,47138361,11855,5740,61306,https://www.youtube.com/watch?v=rjmBnedZCWE,11246,5938,61306,https://www.youtube.com/watch?v=rjmBnedZCWE,20255,5543,37664,https://www.youtube.com/watch?v=1ldrg4Jc77o,52453,4923,2289,16386,https://www.twitch.tv/videos/2340572837
abd64c9a64e04fb1b23faa2480c1c106,200000,69270315,7487,2600,113463,https://www.youtube.com/watch?v=XFhZ__Yvbm8,1807,269,7751,https://www.youtube.com/watch?v=bT0asLvB3jE,17799,5494,113463,https://www.youtube.com/watch?v=XFhZ__Yvbm8,2050,0,0,0,
d837e8fda137492c9d77882b98ff863a,187000,42637932,32940,20483,349499,https://www.youtube.com/watch?v=cku1uqbS3qQ,25876,11065,43012,https://www.youtube.com/watch?v=OkM_Rjv7lAg,190559,82938,349499,https://www.youtube.com/watch?v=cku1uqbS3qQ,6892,0,0,0,
312fdd3c5e6d4aefa73fd3860ecc5613,185000,25845136,8798,1492,16843,https://www.youtube.com/watch?v=trMDyC8woWw,11240,1224,16843,https://www.youtube.com/watch?v=trMDyC8woWw,7859,2072,7859,https://www.youtube.com/watch?v=-Ezfv6I7jAk,13536,0,0,0,
182da09d8d454f37a52ec546cbb35e39,173000,2938087,91122,68638,311451,https://www.youtube.com/watch?v=r8Rwh9biPKs,117348,107473,311451,https://www.youtube.com/watch?v=r8Rwh9biPKs,83782,48656,253656,https://www.youtube.com/watch?v=vw9hZ-cN5bw,0,0,0,0,
265a18972d244affae35711cfd1f9931,171000,17282609,3424,1295,15501,https://www.youtube.com/watch?v=hbEUxHfKV5A,3974,1295,15501,https://www.youtube.com/watch?v=hbEUxHfKV5A,3398,1650,10973,https://www.youtube.com/watch?v=6lKt9zzFuFs,10274,1053,333,3463,https://www.twitch.tv/videos/2352171072
e93bd1102e214cbaa71cc5b2e4a53595,164000,24493980,19001,9084,42234,https://www.youtube.com/watch?v=kr9qtYIpz8Q,19386,9210,32957,https://www.youtube.com/watch?v=_Ni4UugmzOo,17839,8769,42234,https://www.youtube.com/watch?v=kr9qtYIpz8Q,72384,28775,11791,35678,https://www.twitch.tv/videos/2337148504
c04f006e69e04000a68cd0c41f888eb2,145000,9723086,5003,1997,7562,https://www.youtube.com/watch?v=ljNe5dLWS2k,5003,1997,7562,https://www.youtube.com/watch?v=ljNe5dLWS2k,0,0,0,,0,0,0,0,
21428cae24af4607bffe25cb2746daa6,145000,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,
f110fd69b66941bab04de9ada563c6ac,142000,13686917,3674,1484,11678,https://www.youtube.com/watch?v=JJhly5EtAfw,3381,1245,5975,https://www.youtube.com/watch?v=JDifVURvQRk,4940,1589,11678,https://www.youtube.com/watch?v=JJhly5EtAfw,5510,0,0,0,
2741a90689f342548daad7f760b0a8f7,138000,32577283,48189,13804,255051,https://www.youtube.com/watch?v=dwl2eH0V3Is,15742,8739,19807,https://www.youtube.com/watch?v=dSUefa7b1Os,56976,23784,255051,https://www.youtube.com/watch?v=dwl2eH0V3Is,5243,2558,2051,4170,https://www.twitch.tv/videos/2353130517
bafb134fd2f849898d6242d1f5f683cc,135000,17929552,6511,2233,17043,https://www.youtube.com/watch?v=mvSWQep2aNY,5428,2404,16825,https://www.youtube.com/watch?v=c8ERClEqtZk,9019,2099,17043,https://www.youtube.com/watch?v=mvSWQep2aNY,35407,7832,3747,10061,https://www.twitch.tv/videos/2343003659
