V5##VTuber ID,YouTube Subscriber Count,YouTube View Count,YouTube Recent Total Median View Count,YouTube Recent Total Popularity,YouTube Recent Total Highest View Count,YouTube Recent Total Highest Viewed URL,YouTube Recent Livestream Median View Count,YouTube Recent Livestream Popularity,YouTube Recent Livestream Highest View Count,YouTube Recent Livestream Highest Viewed URL,YouTube Recent Video Median View Count,YouTube Recent Video Popularity,YouTube Recent Video Highest View Count,YouTube Recent Video Highest Viewed URL,Twitch Follower Count,Twitch Recent Median View Count,Twitch Recent Popularity,Twitch Recent Highest View Count,Twitch Recent Highest Viewed URL
1c5619a4ece046dd8ba68ed343489ca3,522000,109617983,6774,4261,455677,https://www.youtube.com/watch?v=PvNfqldUAmU,4479,3208,6416,https://www.youtube.com/watch?v=xIO-DgEXF0Q,44972,22673,455677,https://www.youtube.com/watch?v=PvNfqldUAmU,31799,0,0,0,
f6a4e7aa8d0c4e5cb39d199845ec4d02,455000,53380222,13375,3212,70018,https://www.youtube.com/watch?v=wpzPnSY00Pk,7046,3381,25689,https://www.youtube.com/watch?v=FqON_LuxC_k,14353,2997,70018,https://www.youtube.com/watch?v=wpzPnSY00Pk,112492,31383,12491,74418,https://www.twitch.tv/videos/2318715322
664e1b310cf343b78623f99b31e40fae,396000,59046691,1927,221,1927,https://www.youtube.com/watch?v=pntqzuxXvBI,0,0,0,,1927,221,1927,https://www.youtube.com/watch?v=pntqzuxXvBI,17224,0,0,0,
5535c9524eb046c38e172ebfa06b302f,362000,98350680,14632,4979,98231,https://www.youtube.com/watch?v=KKGNI5ZBSy0,21019,10670,98231,https://www.youtube.com/watch?v=KKGNI5ZBSy0,7455,2434,30803,https://www.youtube.com/watch?v=B7-WZK7Joow,71207,1893,1303,7613,https://www.twitch.tv/videos/2329790837
4b6b055ada4d4f0ab63b7ad02a3fa3ef,227000,17437179,2786,797,4601,https://www.youtube.com/watch?v=jEfBwTw7FGw,2549,216,3227,https://www.youtube.com/watch?v=kYoOlgrEyjw,3323,1727,4601,https://www.youtube.com/watch?v=jEfBwTw7FGw,55705,961,146,3064,https://www.twitch.tv/videos/2326274512
897400f2658a483286ca6acc927006ca,223000,32916992,2324,912,12848,https://www.youtube.com/watch?v=uXyug1iZkUE,2373,1465,5447,https://www.youtube.com/watch?v=FOi5Zf7tN9U,1887,432,12848,https://www.youtube.com/watch?v=uXyug1iZkUE,10029,0,0,0,
a9f6574e98f34b20a05269134930fb50,222000,8988210,5022,2104,11453,https://www.youtube.com/watch?v=F0_zPOzqR6g,5022,2104,11453,https://www.youtube.com/watch?v=F0_zPOzqR6g,0,0,0,,0,0,0,0,
7c06b9e316ce4ac18ce836cd72442bbe,209000,46396368,11750,6191,58447,https://www.youtube.com/watch?v=rjmBnedZCWE,10930,6191,58447,https://www.youtube.com/watch?v=rjmBnedZCWE,15115,6666,24831,https://www.youtube.com/watch?v=wl3LI9h0FJg,52173,4539,2507,16344,https://www.twitch.tv/videos/2340572837
abd64c9a64e04fb1b23faa2480c1c106,199000,68724309,1524,739,172220,https://www.youtube.com/watch?v=BHueOE7cMDU,1310,464,4764,https://www.youtube.com/watch?v=bT0asLvB3jE,22792,4841,172220,https://www.youtube.com/watch?v=BHueOE7cMDU,2045,0,0,0,
312fdd3c5e6d4aefa73fd3860ecc5613,185000,25594543,7314,4147,18419,https://www.youtube.com/watch?v=rO4ctI4ddw0,7276,4637,18419,https://www.youtube.com/watch?v=rO4ctI4ddw0,9737,3657,14525,https://www.youtube.com/watch?v=gLtpRVwkPKU,13534,0,0,0,
265a18972d244affae35711cfd1f9931,170000,17092749,4360,2417,34038,https://www.youtube.com/watch?v=0yDygi54E1E,4879,2973,34038,https://www.youtube.com/watch?v=0yDygi54E1E,4308,1826,21372,https://www.youtube.com/watch?v=C2nrAUJCwJ8,10213,1168,289,1923,https://www.twitch.tv/videos/2321444268
d837e8fda137492c9d77882b98ff863a,169000,37319946,61843,23541,494717,https://www.youtube.com/watch?v=SSnCAPbPnlw,22951,14901,87658,https://www.youtube.com/watch?v=hMqd0gtWpjw,157236,75028,494717,https://www.youtube.com/watch?v=SSnCAPbPnlw,6251,1874,1367,2528,https://www.twitch.tv/videos/2336322112
e93bd1102e214cbaa71cc5b2e4a53595,162000,23957869,18927,6059,62420,https://www.youtube.com/watch?v=8184iqrNyC4,16078,5681,27464,https://www.youtube.com/watch?v=AL2AcVKsWz4,21092,7418,62420,https://www.youtube.com/watch?v=8184iqrNyC4,71808,28163,18375,35603,https://www.twitch.tv/videos/2337148504
21428cae24af4607bffe25cb2746daa6,145000,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,
c04f006e69e04000a68cd0c41f888eb2,144000,9653437,6762,2066,13464,https://www.youtube.com/watch?v=VVvogSxcv14,6624,2110,13464,https://www.youtube.com/watch?v=VVvogSxcv14,9052,1005,9052,https://www.youtube.com/watch?v=06ImEz9gUXQ,0,0,0,0,
f110fd69b66941bab04de9ada563c6ac,141000,13579019,3557,1857,8245,https://www.youtube.com/watch?v=APVj0u5I8UI,3740,1857,8245,https://www.youtube.com/watch?v=APVj0u5I8UI,3500,1700,4983,https://www.youtube.com/watch?v=TvpK27Yqbys,5495,0,0,0,
2741a90689f342548daad7f760b0a8f7,135000,31588104,50527,22226,161240,https://www.youtube.com/watch?v=dwl2eH0V3Is,21454,13507,38195,https://www.youtube.com/watch?v=2CeSagRGvXc,56879,28156,161240,https://www.youtube.com/watch?v=dwl2eH0V3Is,4614,2906,2865,7453,https://www.twitch.tv/videos/2338154344
bafb134fd2f849898d6242d1f5f683cc,134000,17766271,6162,2944,33359,https://www.youtube.com/watch?v=7roS42wkxlA,5878,2904,33359,https://www.youtube.com/watch?v=7roS42wkxlA,6782,3439,13790,https://www.youtube.com/watch?v=mvSWQep2aNY,35326,9737,9539,24575,https://www.twitch.tv/videos/2328808495
c82ab1b4f8f64d1f84cae4ce09aa0dea,132000,18259104,13158,10003,60761,https://www.youtube.com/watch?v=MOyZIAcJUB0,13032,9827,17942,https://www.youtube.com/watch?v=kS_h6kRMRVc,20675,14094,60761,https://www.youtube.com/watch?v=MOyZIAcJUB0,45032,20731,10316,38978,https://www.twitch.tv/videos/2325531039
c65e7caaf81a43249d5132b9fe312b24,123000,6819564,12524,6244,29007,https://www.youtube.com/watch?v=2YI_LyC1FnU,14240,6390,29007,https://www.youtube.com/watch?v=2YI_LyC1FnU,5485,1518,5857,https://www.youtube.com/watch?v=HRVt9u1SqSA,0,0,0,0,
0641a9c8b9a94994aaa33e0c86fef75b,122000,20388208,8247,3971,73835,https://www.youtube.com/watch?v=RK2Y5eIJvVk,4551,2529,8247,https://www.youtube.com/watch?v=OIdzKFF8Ax8,11756,7524,73835,https://www.youtube.com/watch?v=RK2Y5eIJvVk,5549,0,0,0,
a3ce195c0069494c99849d0b1a10a7fd,121000,12157695,2982,1433,15260,https://www.youtube.com/watch?v=mhqiIpVIJ2g,4583,2068,15260,https://www.youtube.com/watch?v=mhqiIpVIJ2g,2276,1370,4664,https://www.youtube.com/watch?v=NQiaVrQNTNw,23516,10414,6835,14281,https://www.twitch.tv/videos/2338689549
58abad4aa8de49efb785367503dfd92c,119000,13529739,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,
ab4f892ca62e4043b6287bdfe50b145d,111000,17734949,692,123,2147,https://www.youtube.com/watch?v=TGa-Tg53hYM,692,123,2147,https://www.youtube.com/watch?v=TGa-Tg53hYM,0,0,0,,1449,0,0,0,
494d2c5daf9f4a8a8e4538687e6be14c,111000,4746612,2144,805,3266,https://www.youtube.com/watch?v=JvCnIqQT9_M,2354,1140,3266,https://www.youtube.com/watch?v=JvCnIqQT9_M,829,585,829,https://www.youtube.com/watch?v=p22_7yG9q5c,0,0,0,0,
6dc75ab227e34c928598bde8f2d324bf,108000,18640376,19873,9404,72120,https://www.youtube.com/watch?v=9nx1hDR_4dQ,6063,3915,14564,https://www.youtube.com/watch?v=r0WJw9FBfc0,23177,10257,72120,https://www.youtube.com/watch?v=9nx1hDR_4dQ,0,0,0,0,
e78cffa246c24a1c88031151cad8c385,108000,7629268,2730,1101,41861,https://www.youtube.com/watch?v=Z0FyTL0oHeo,1782,931,4313,https://www.youtube.com/watch?v=0mJL1VRz-Ts,13609,4297,41861,https://www.youtube.com/watch?v=Z0FyTL0oHeo,2021,0,0,0,
fa5a7cdc259543259af42bb23f1e4041,106000,18381770,6147,3139,17078,https://www.youtube.com/watch?v=iwpGFt4hSSo,4348,2338,8857,https://www.youtube.com/watch?v=p7y1OiQ34LU,12827,4332,17078,https://www.youtube.com/watch?v=iwpGFt4hSSo,0,0,0,0,
f1b5f88144e14bd188e17b2f98303713,106000,4360039,7893,4914,8280,https://www.youtube.com/watch?v=xy4jTshLQXQ,7893,4914,8280,https://www.youtube.com/watch?v=xy4jTshLQXQ,0,0,0,,0,0,0,0,
04d2ff1dde6b4bb68503a734274f4b7e,103000,7133079,3285,1423,4356,https://www.youtube.com/watch?v=vdTverCz-90,4071,1476,4356,https://www.youtube.com/watch?v=vdTverCz-90,1416,412,1610,https://www.youtube.com/watch?v=1pAZxdEP94w,0,0,0,0,
b126053a1356460ebf85a874a6a55aca,102000,33510177,2966,1435,7717,https://www.youtube.com/watch?v=KVCo54wzu-A,3014,1542,6948,https://www.youtube.com/watch?v=QNCvc0YOSs0,2030,743,7717,https://www.youtube.com/watch?v=KVCo54wzu-A,0,0,0,0,
b4a1791208fd4d85b7b08ee2bad0c236,102000,8851702,4545,1959,23907,https://www.youtube.com/watch?v=gzXWLOaofHs,3897,1665,23907,https://www.youtube.com/watch?v=gzXWLOaofHs,5247,4310,20949,https://www.youtube.com/watch?v=4lc1X8J5yhA,0,0,0,0,
98e3a5838fec4a6caa936ae35485de23,96000,6769493,2834,1438,26393,https://www.youtube.com/watch?v=766kC13zs7k,2808,1411,6459,https://www.youtube.com/watch?v=p8jjuqbP8ss,5373,3129,26393,https://www.youtube.com/watch?v=766kC13zs7k,0,0,0,0,
182da09d8d454f37a52ec546cbb35e39,95500,1052773,74004,63040,295290,https://www.youtube.com/watch?v=fC7omnxpSN0,0,0,0,,74004,63040,295290,https://www.youtube.com/watch?v=fC7omnxpSN0,0,0,0,0,
a9b855767b2d432c9f263e3427ff33a6,93800,9886651,5061,2531,26931,https://www.youtube.com/watch?v=Mttm4qyL1L4,5061,2268,10293,https://www.youtube.com/watch?v=W3XqjXeJwCc,7204,3472,26931,https://www.youtube.com/watch?v=Mttm4qyL1L4,0,0,0,0,
c0c033c9c8014562b58a7124b6b22fb0,90400,977661,718,313,1172,https://www.youtube.com/watch?v=rZ9-7EXHb8w,889,561,1172,https://www.youtube.com/watch?v=rZ9-7EXHb8w,409,128,751,https://www.youtube.com/watch?v=KO1ta_3nHEc,0,0,0,0,
9cec24b011ee45648eb404066c997f49,90100,12344548,6964,3001,26958,https://www.youtube.com/watch?v=FeHBHOJiPhM,7010,3236,26958,https://www.youtube.com/watch?v=FeHBHOJiPhM,3193,1218,9493,https://www.youtube.com/watch?v=H7_MWAFCju4,31120,13619,7885,18007,https://www.twitch.tv/videos/2323938852
