V5##VTuber ID,YouTube Subscriber Count,YouTube View Count,YouTube Recent Total Median View Count,YouTube Recent Total Popularity,YouTube Recent Total Highest View Count,YouTube Recent Total Highest Viewed URL,YouTube Recent Livestream Median View Count,YouTube Recent Livestream Popularity,YouTube Recent Livestream Highest View Count,YouTube Recent Livestream Highest Viewed URL,YouTube Recent Video Median View Count,YouTube Recent Video Popularity,YouTube Recent Video Highest View Count,YouTube Recent Video Highest Viewed URL,Twitch Follower Count,Twitch Recent Median View Count,Twitch Recent Popularity,Twitch Recent Highest View Count,Twitch Recent Highest Viewed URL
1c5619a4ece046dd8ba68ed343489ca3,521000,108969131,6162,5713,375578,https://www.youtube.com/watch?v=PvNfqldUAmU,3453,2775,6162,https://www.youtube.com/watch?v=xIO-DgEXF0Q,80945,31375,375578,https://www.youtube.com/watch?v=PvNfqldUAmU,31785,0,0,0,
f6a4e7aa8d0c4e5cb39d199845ec4d02,455000,53234368,12877,5683,67953,https://www.youtube.com/watch?v=wpzPnSY00Pk,6337,3934,25467,https://www.youtube.com/watch?v=FqON_LuxC_k,13791,5782,67953,https://www.youtube.com/watch?v=wpzPnSY00Pk,112481,38380,13591,74323,https://www.twitch.tv/videos/2318715322
664e1b310cf343b78623f99b31e40fae,396000,58999827,1752,483,1794,https://www.youtube.com/watch?v=VdGMGTsa7rU,1794,309,1794,https://www.youtube.com/watch?v=VdGMGTsa7rU,1711,657,1711,https://www.youtube.com/watch?v=pntqzuxXvBI,17222,0,0,0,
5535c9524eb046c38e172ebfa06b302f,362000,97923129,9733,3588,85076,https://www.youtube.com/watch?v=KKGNI5ZBSy0,17364,8095,85076,https://www.youtube.com/watch?v=KKGNI5ZBSy0,5000,2031,30016,https://www.youtube.com/watch?v=B7-WZK7Joow,71171,2140,790,7604,https://www.twitch.tv/videos/2329790837
4b6b055ada4d4f0ab63b7ad02a3fa3ef,227000,17420979,2523,977,4457,https://www.youtube.com/watch?v=jqMHiWno3nI,2485,635,4457,https://www.youtube.com/watch?v=jqMHiWno3nI,3023,1361,3716,https://www.youtube.com/watch?v=jEfBwTw7FGw,55721,999,160,2855,https://www.twitch.tv/videos/2326274512
a9f6574e98f34b20a05269134930fb50,223000,8975534,5364,2304,11401,https://www.youtube.com/watch?v=F0_zPOzqR6g,5364,2304,11401,https://www.youtube.com/watch?v=F0_zPOzqR6g,0,0,0,,0,0,0,0,
897400f2658a483286ca6acc927006ca,223000,32893805,2334,1124,12289,https://www.youtube.com/watch?v=uXyug1iZkUE,2334,1384,6182,https://www.youtube.com/watch?v=akECjdBqqWw,2435,931,12289,https://www.youtube.com/watch?v=uXyug1iZkUE,10022,0,0,0,
7c06b9e316ce4ac18ce836cd72442bbe,208000,45986005,10495,5187,45780,https://www.youtube.com/watch?v=sxpvDT5BdZQ,9041,5187,15873,https://www.youtube.com/watch?v=Z_TnTJTpHSI,10914,5281,45780,https://www.youtube.com/watch?v=sxpvDT5BdZQ,51933,4248,3504,5976,https://www.twitch.tv/videos/2328178130
abd64c9a64e04fb1b23faa2480c1c106,198000,68424561,1475,829,142501,https://www.youtube.com/watch?v=BHueOE7cMDU,1343,696,4127,https://www.youtube.com/watch?v=WHc9wqHR8P0,43821,13412,142501,https://www.youtube.com/watch?v=BHueOE7cMDU,2045,77,49,101,https://www.twitch.tv/videos/2328334187
312fdd3c5e6d4aefa73fd3860ecc5613,185000,25446557,10309,4117,19887,https://www.youtube.com/watch?v=6Qvts6Gxt0w,7535,3878,19887,https://www.youtube.com/watch?v=6Qvts6Gxt0w,11170,4356,13733,https://www.youtube.com/watch?v=gLtpRVwkPKU,13524,0,0,0,
265a18972d244affae35711cfd1f9931,170000,16985454,5095,2477,31248,https://www.youtube.com/watch?v=0yDygi54E1E,5095,2477,31248,https://www.youtube.com/watch?v=0yDygi54E1E,4894,2917,13542,https://www.youtube.com/watch?v=C2nrAUJCwJ8,10209,1168,563,1922,https://www.twitch.tv/videos/2321444268
e93bd1102e214cbaa71cc5b2e4a53595,162000,23780948,15905,6800,54192,https://www.youtube.com/watch?v=8184iqrNyC4,14177,4384,26508,https://www.youtube.com/watch?v=AL2AcVKsWz4,18021,7124,54192,https://www.youtube.com/watch?v=8184iqrNyC4,71493,15878,5264,40176,https://www.twitch.tv/videos/2317214744
d837e8fda137492c9d77882b98ff863a,158000,34611269,64833,20403,403369,https://www.youtube.com/watch?v=SSnCAPbPnlw,12775,5186,82512,https://www.youtube.com/watch?v=hMqd0gtWpjw,106493,73248,403369,https://www.youtube.com/watch?v=SSnCAPbPnlw,5730,2190,2165,2190,https://www.twitch.tv/videos/2336322112
21428cae24af4607bffe25cb2746daa6,145000,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,
c04f006e69e04000a68cd0c41f888eb2,144000,9620253,8569,3260,23891,https://www.youtube.com/watch?v=eRnsd4cMOpA,6730,3852,13388,https://www.youtube.com/watch?v=VVvogSxcv14,12958,1189,23891,https://www.youtube.com/watch?v=eRnsd4cMOpA,0,0,0,0,
f110fd69b66941bab04de9ada563c6ac,141000,13535810,3256,1963,39092,https://www.youtube.com/watch?v=_TPjyCG3oM8,4049,2721,39092,https://www.youtube.com/watch?v=_TPjyCG3oM8,2971,1401,5799,https://www.youtube.com/watch?v=NoHZjluBJns,5487,0,0,0,
2741a90689f342548daad7f760b0a8f7,134000,31231211,53763,23974,103366,https://www.youtube.com/watch?v=OvpadGmz8rM,27930,22989,36829,https://www.youtube.com/watch?v=2CeSagRGvXc,58827,25608,103366,https://www.youtube.com/watch?v=OvpadGmz8rM,4117,942,903,942,https://www.twitch.tv/videos/2335671371
bafb134fd2f849898d6242d1f5f683cc,134000,17677318,6333,3389,32607,https://www.youtube.com/watch?v=7roS42wkxlA,7207,3109,32607,https://www.youtube.com/watch?v=7roS42wkxlA,5100,3534,11889,https://www.youtube.com/watch?v=usyslgZvSVk,35245,13291,8778,24005,https://www.twitch.tv/videos/2328808495
c82ab1b4f8f64d1f84cae4ce09aa0dea,132000,18114162,12933,4672,57834,https://www.youtube.com/watch?v=MOyZIAcJUB0,15055,6595,18539,https://www.youtube.com/watch?v=67pNg1B5754,8252,3210,57834,https://www.youtube.com/watch?v=MOyZIAcJUB0,44626,17979,11259,38881,https://www.twitch.tv/videos/2325531039
0641a9c8b9a94994aaa33e0c86fef75b,122000,20299024,6858,4527,72102,https://www.youtube.com/watch?v=RK2Y5eIJvVk,4770,2073,7846,https://www.youtube.com/watch?v=OIdzKFF8Ax8,28175,9713,72102,https://www.youtube.com/watch?v=RK2Y5eIJvVk,5531,0,0,0,
c65e7caaf81a43249d5132b9fe312b24,122000,6689758,12435,6838,27088,https://www.youtube.com/watch?v=cftQqnpcapE,12435,7339,27088,https://www.youtube.com/watch?v=cftQqnpcapE,10286,3034,20532,https://www.youtube.com/watch?v=OTou071GkjU,0,0,0,0,
a3ce195c0069494c99849d0b1a10a7fd,121000,12093228,3057,1394,5763,https://www.youtube.com/watch?v=SDlmenUYFtw,3853,2091,5763,https://www.youtube.com/watch?v=SDlmenUYFtw,1894,1170,1998,https://www.youtube.com/watch?v=wNY_vQEOOMs,23194,10212,3554,13725,https://www.twitch.tv/videos/2325625354
58abad4aa8de49efb785367503dfd92c,119000,13446210,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,
494d2c5daf9f4a8a8e4538687e6be14c,114000,4740452,1999,1013,3401,https://www.youtube.com/watch?v=Dj4UZb4zrig,2265,1244,3401,https://www.youtube.com/watch?v=Dj4UZb4zrig,597,582,597,https://www.youtube.com/watch?v=p22_7yG9q5c,0,0,0,0,
